Serial Number:,DEN1I104,,,,,,,,
APP Serial #,4000695,,,,,,,,
APP Ver:,  R1-6-3,,,,,,,,
COM Ver:,   R2-6-1,,,,,,,,
Instrument Name:,tulipdendro                 ,,,,,,,,
Comment:,                            ,,,,,,,,
Channel,Slope,Intercept,,,,,,,
Chan1,1,0,,,,,,,
Chan2,1,0,,,,,,,
Chan3,1,0,,,,,,,
Chan4,1,0,,,,,,,
Chan5,1,0,,,,,,,
,,,,,,,,,
Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
28/05/2020,21:00:13,193.684,0,4.16,16,present ,11.33,43.2,
28/05/2020,21:10:13,193.683,0,4.16,16.1,present ,11.32,42.6,
28/05/2020,21:20:13,193.684,0,4.16,16,present ,11.33,42.9,
28/05/2020,21:30:13,193.683,0,4.16,16.2,present ,11.33,43.2,
28/05/2020,21:40:13,193.683,-0.001,4.16,16.1,present ,11.32,42.6,
28/05/2020,21:50:13,193.683,0,4.16,16,present ,11.33,43.2,
28/05/2020,22:00:13,193.684,0,4.15,15.7,present ,11.33,43.2,
28/05/2020,22:10:13,193.683,-0.001,4.15,15.5,present ,11.36,42.6,
28/05/2020,22:20:13,193.683,-0.001,4.15,15.6,present ,11.33,43.2,
28/05/2020,22:30:13,193.684,0,4.15,15.4,present ,11.33,43.2,
28/05/2020,22:40:13,193.684,0,4.15,15.3,present ,11.32,42.6,
28/05/2020,22:50:13,193.684,0,4.15,15.1,present ,11.29,42.6,
28/05/2020,23:00:13,193.684,0,4.15,15,present ,11.32,42.6,
28/05/2020,23:10:12,193.683,0,4.15,15.3,present ,11.33,42.9,
28/05/2020,23:20:12,193.684,0,4.15,15,present ,11.32,42.6,
28/05/2020,23:30:13,193.684,0,4.15,15.3,present ,11.33,43.2,
28/05/2020,23:40:13,193.683,0,4.15,15.1,present ,11.32,42.6,
28/05/2020,23:50:13,193.683,0,4.15,15.1,present ,11.32,42.6,
29/05/2020,0:00:13,193.683,0,4.19,15.1,present ,11.33,43.2,
29/05/2020,0:10:13,193.684,0,4.19,14.8,present ,11.32,42.6,
29/05/2020,0:20:13,193.684,0,4.19,14.7,present ,11.32,42.6,
29/05/2020,0:30:13,193.683,-0.001,4.13,13.8,present ,11.33,42.9,
29/05/2020,0:40:13,193.684,0,4.07,13.3,present ,11.29,42.3,
29/05/2020,0:50:13,193.683,0,4.19,13.2,present ,11.34,44.1,
29/05/2020,1:00:13,193.683,0,4.19,12.9,present ,11.3,44.1,
29/05/2020,1:10:13,193.683,0,4.19,12.5,present ,11.3,44.4,
29/05/2020,1:20:13,193.683,0,4.19,12.3,present ,11.3,44.4,
29/05/2020,1:30:13,193.683,-0.001,4.19,12.4,present ,11.3,44.1,
29/05/2020,1:40:12,193.683,0,4.19,12.2,present ,11.3,44.1,
29/05/2020,1:50:12,193.683,0,4.19,11.9,present ,11.27,44.7,
29/05/2020,2:00:12,193.683,-0.001,4.19,11.8,present ,11.31,44.7,
29/05/2020,2:10:13,193.683,0,4.19,11.9,present ,11.3,44.1,
29/05/2020,2:20:13,193.684,0,4.19,11.6,present ,11.31,44.7,
29/05/2020,2:30:13,193.683,0,4.19,11.7,present ,11.27,44.4,
29/05/2020,2:40:13,193.683,-0.001,4.19,12,present ,11.27,44.1,
29/05/2020,2:50:13,193.684,0,4.19,11.8,present ,11.27,44.1,
29/05/2020,3:00:13,193.684,0,4.19,11.8,present ,11.27,44.7,
29/05/2020,3:10:13,193.683,0,4.19,11.6,present ,11.27,44.4,
29/05/2020,3:20:13,193.683,0,4.19,11.8,present ,11.27,44.7,
29/05/2020,3:30:13,193.683,0,4.19,11.6,present ,11.27,44.7,
29/05/2020,3:40:13,193.683,0,4.19,11.5,present ,11.27,44.4,
29/05/2020,3:50:13,193.683,0,4.19,11.5,present ,11.27,44.7,
29/05/2020,4:00:13,193.684,0,4.19,11.5,present ,11.27,44.4,
29/05/2020,4:10:13,193.684,0,4.19,11.3,present ,11.27,44.7,
29/05/2020,4:20:13,193.684,0,4.19,11.6,present ,11.27,44.4,
29/05/2020,4:30:12,193.684,0,4.19,11.7,present ,11.27,44.7,
29/05/2020,4:40:12,193.683,0,4.19,11.5,present ,11.27,44.4,
29/05/2020,4:50:13,193.684,0,4.19,11.4,present ,11.27,44.1,
29/05/2020,5:00:13,193.683,0,4.18,11.3,present ,11.23,44.7,
29/05/2020,5:10:13,193.684,0,4.19,11.4,present ,11.23,44.4,
29/05/2020,5:20:13,193.683,0,4.18,11.4,present ,11.23,44.4,
29/05/2020,5:30:13,193.683,0,4.19,11.5,present ,11.23,44.4,
29/05/2020,5:40:13,193.683,-0.001,4.19,11.4,present ,11.23,44.4,
29/05/2020,5:50:13,193.684,0,4.19,11.4,present ,11.23,44.4,
